NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.10315E-03,  5.49764E-03,  5.82875E-03,  6.12723E-03,  6.42415E-03,NA,  7.07056E-03,  7.39580E-03,  7.67506E-03,  7.86478E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.15621E-03,  4.94632E-03,  5.62534E-03,  6.16656E-03,  6.57376E-03,  6.88370E-03,  7.15576E-03,  7.45149E-03,  7.81135E-03,  8.23762E-03,  8.68963E-03,  9.09469E-03,  9.37213E-03,  9.46141E-03,  9.34107E-03,  9.03068E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.88527E-03,  4.00831E-03,  5.12168E-03,  6.14143E-03,  6.98514E-03,  7.59924E-03,  7.98567E-03,  8.21138E-03,  8.39037E-03,  8.64357E-03,  9.05373E-03,  9.63171E-03,  1.03053E-02,  1.09376E-02,  1.13745E-02,  1.15040E-02,  1.12952E-02,  1.07966E-02,  1.01029E-02,  9.31519E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.06188E-03,  3.43520E-03,  4.92278E-03,  6.42516E-03,  7.80263E-03,  8.90102E-03,  9.60542E-03,  9.90342E-03,  9.91579E-03,  9.86319E-03,  9.98350E-03,  1.04435E-02,  1.12761E-02,  1.23537E-02,  1.34126E-02,  1.41467E-02,  1.43413E-02,  1.39594E-02,  1.31238E-02,  1.20287E-02,  1.08545E-02,  9.72529E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.39574E-03, -4.47054E-04,  7.72008E-04,  2.28252E-03,  4.07698E-03,  6.09681E-03,  8.20606E-03,  1.01757E-02,  1.17104E-02,  1.25504E-02,  1.26277E-02,  1.21625E-02,  1.15933E-02,  1.13895E-02,  1.18805E-02,  1.31534E-02,  1.49938E-02,  1.68881E-02,  1.81949E-02,  1.84782E-02,  1.77240E-02,  1.62509E-02,  1.44675E-02,  1.26908E-02,  1.10937E-02,  9.73478E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.63195E-03, -3.30003E-03, -2.77706E-03, -2.00794E-03, -9.29811E-04,  5.23744E-04,  2.41278E-03,  4.77070E-03,  7.56651E-03,  1.06440E-02,  1.36499E-02,NA,NA,NA,NA,  1.35548E-02,  1.26360E-02,  1.30877E-02,  1.51213E-02,  1.84374E-02,NA,NA,NA,  2.32413E-02,  2.05054E-02,  1.75210E-02,  1.48146E-02,  1.25754E-02,  1.07986E-02,  9.40502E-03,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.55580E-03, -4.55143E-03, -4.43513E-03, -4.16036E-03, -3.66633E-03, -2.87558E-03, -1.69213E-03, -1.90631E-06,  2.32157E-03,  5.39883E-03,  9.29670E-03,NA,NA,NA,NA,NA,NA,NA,  1.32016E-02,  1.34204E-02,NA,NA,NA,NA,NA,NA,NA,  2.11885E-02,  1.71104E-02,  1.40562E-02,  1.18158E-02,  1.01589E-02,  8.90252E-03,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.14120E-03, -5.31238E-03, -5.41519E-03, -5.41013E-03, -5.24194E-03, -4.83461E-03, -4.08538E-03, -2.85802E-03, -9.75367E-04,  1.78726E-03,  5.70224E-03,  1.10623E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.92534E-02,  1.53240E-02,  1.26707E-02,  1.08145E-02,  9.45169E-03,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.54922E-03, -5.87060E-03, -6.16941E-03, -6.41827E-03, -6.57575E-03, -6.58040E-03, -6.34287E-03, -5.73555E-03, -4.57901E-03, -2.62361E-03,  4.77585E-04,  5.21019E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.06247E-02,  1.60847E-02,  1.32428E-02,  1.13351E-02,  9.95098E-03,  8.87211E-03,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -5.77611E-03, -6.21079E-03, -6.66378E-03, -7.12159E-03, -7.56068E-03, -7.94204E-03, -8.20318E-03, -8.24697E-03, -7.92612E-03, -7.02213E-03, -5.21535E-03, -2.03647E-03,  3.22527E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.04544E-02,  1.60868E-02,  1.34835E-02,  1.17443E-02,  1.04415E-02,  9.37671E-03,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -5.83660E-03, -6.34377E-03, -6.90051E-03, -7.50598E-03, -8.15423E-03, -8.83038E-03, -9.50441E-03, -1.01214E-02, -1.05866E-02, -1.07447E-02,NA,NA,NA, -1.04976E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.84130E-02,  1.53682E-02,  1.35262E-02,  1.21766E-02,  1.10282E-02,  9.98359E-03,  9.02184E-03,NA,
NA,NA,NA,NA,NA,NA,NA, -6.29904E-03, -6.90997E-03, -7.59899E-03, -8.37407E-03, -9.24082E-03, -1.01991E-02, -1.12368E-02, -1.23194E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.52430E-02,  1.44732E-02,  1.37784E-02,  1.29155E-02,  1.18906E-02,  1.07963E-02,  9.72074E-03,  8.71942E-03,
NA,NA,NA,NA,NA,NA, -6.11574E-03, -6.73888E-03, -7.45509E-03, -8.28107E-03, -9.23608E-03, -1.03414E-02, -1.16184E-02, -1.30844E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.44783E-02,  1.49588E-02,  1.44009E-02,  1.32690E-02,  1.19319E-02,  1.06074E-02,  9.39653E-03,
NA,NA,NA,NA,NA,NA, -6.43870E-03, -7.13918E-03, -7.95658E-03, -8.91666E-03, -1.00518E-02, -1.14023E-02, -1.30178E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.71959E-02,  1.54114E-02,  1.34765E-02,  1.16979E-02,  1.01668E-02,
NA,NA,NA,NA,NA,NA, -6.71353E-03, -7.48243E-03, -8.39054E-03, -9.47272E-03, -1.07750E-02, -1.23585E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.84472E-02,  1.54082E-02,  1.29371E-02,  1.09793E-02,
NA,NA,NA,NA,NA, -6.23003E-03, -6.92818E-03, -7.75207E-03, -8.73380E-03, -9.91630E-03, -1.13580E-02, -1.31397E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.21406E-02,  1.74965E-02,  1.41649E-02,  1.17331E-02,
NA,NA,NA,NA,NA, -6.34614E-03, -7.07266E-03, -7.93412E-03, -8.96645E-03, -1.02184E-02, -1.17576E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.92499E-02,  1.51237E-02,  1.22917E-02,
NA,NA,NA,NA,NA, -6.40039E-03, -7.14001E-03, -8.01877E-03, -9.07436E-03, -1.03582E-02, -1.19421E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.00583E-02,  1.55435E-02,  1.25269E-02,
