NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.17405E-03,  6.60291E-03,  6.91792E-03,  7.16027E-03,  7.37184E-03,NA,  7.79869E-03,  8.00858E-03,  8.17977E-03,  8.27316E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.05014E-03,  6.11005E-03,  6.99348E-03,  7.65222E-03,  8.08775E-03,  8.35176E-03,  8.52529E-03,  8.68822E-03,  8.89411E-03,  9.15731E-03,  9.45060E-03,  9.71271E-03,  9.86763E-03,  9.85251E-03,  9.64159E-03,  9.25258E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.25502E-03,  4.81410E-03,  6.37971E-03,  7.80989E-03,  8.95924E-03,  9.73028E-03,  1.01221E-02,  1.02383E-02,  1.02416E-02,  1.02865E-02,  1.04711E-02,  1.08189E-02,  1.12768E-02,  1.17246E-02,  1.20103E-02,  1.20098E-02,  1.16811E-02,  1.10723E-02,  1.02856E-02,  9.42806E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.98441E-03,  3.89535E-03,  6.03344E-03,  8.24545E-03,  1.02939E-02,  1.18953E-02,  1.28290E-02,  1.30696E-02,  1.28295E-02,  1.24500E-02,  1.22373E-02,  1.23693E-02,  1.28835E-02,  1.36788E-02,  1.45164E-02,  1.50771E-02,  1.51043E-02,  1.45376E-02,  1.35157E-02,  1.22644E-02,  1.09816E-02,  9.78871E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.64236E-03, -1.53642E-03,  1.81005E-05,  2.06961E-03,  4.63066E-03,  7.64502E-03,  1.09291E-02,  1.41030E-02,  1.65929E-02,  1.78414E-02,  1.77003E-02,  1.66307E-02,  1.54066E-02,  1.46536E-02,  1.46773E-02,  1.55319E-02,  1.70442E-02,  1.87367E-02,  1.98905E-02,  1.99270E-02,  1.87964E-02,  1.69208E-02,  1.48205E-02,  1.28486E-02,  1.11551E-02,  9.75894E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.86839E-03, -4.80344E-03, -4.46623E-03, -3.74340E-03, -2.51305E-03, -6.53719E-04,  1.94908E-03,  5.39446E-03,  9.73286E-03,  1.48580E-02,  2.02705E-02,NA,NA,NA,NA,  1.96239E-02,  1.77520E-02,  1.75708E-02,  1.91321E-02,  2.22400E-02,NA,NA,NA,  2.56611E-02,  2.18491E-02,  1.81294E-02,  1.50388E-02,  1.26421E-02,  1.08196E-02,  9.42244E-03,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.22549E-03, -5.62075E-03, -5.93922E-03, -6.08413E-03, -5.92096E-03, -5.28243E-03, -3.98019E-03, -1.81492E-03,  1.42924E-03,  6.01477E-03,  1.22859E-02,NA,NA,NA,NA,NA,NA,NA,  2.20299E-02,  2.14850E-02,NA,NA,NA,NA,NA,NA,NA,  2.23138E-02,  1.74679E-02,  1.41526E-02,  1.18521E-02,  1.01960E-02,  8.94880E-03,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.32962E-03, -5.92480E-03, -6.56323E-03, -7.17928E-03, -7.65293E-03, -7.80005E-03, -7.37732E-03, -6.10265E-03, -3.67440E-03,  2.49370E-04,  6.16655E-03,  1.50081E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.98641E-02,  1.55154E-02,  1.27711E-02,  1.09074E-02,  9.54537E-03,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.10829E-03, -5.76999E-03, -6.57355E-03, -7.51090E-03, -8.52361E-03, -9.47089E-03, -1.01054E-02, -1.00767E-02, -8.97122E-03, -6.36359E-03, -1.79840E-03,  5.44061E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.17110E-02,  1.65209E-02,  1.35081E-02,  1.15456E-02,  1.01272E-02,  9.01587E-03,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -4.67648E-03, -5.27107E-03, -6.04531E-03, -7.04707E-03, -8.30353E-03, -9.77981E-03, -1.13214E-02, -1.26036E-02, -1.31306E-02, -1.23130E-02, -9.59228E-03, -4.47288E-03,  3.78585E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.24472E-02,  1.70540E-02,  1.40785E-02,  1.21573E-02,  1.07400E-02,  9.59401E-03,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -4.17764E-03, -4.62169E-03, -5.21472E-03, -6.02683E-03, -7.14190E-03, -8.63067E-03, -1.04904E-02, -1.25537E-02, -1.44045E-02, -1.53755E-02,NA,NA,NA,  2.61328E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.20798E-02,  1.73049E-02,  1.46636E-02,  1.28826E-02,  1.14815E-02,  1.02827E-02,  9.22454E-03,NA,
NA,NA,NA,NA,NA,NA,NA, -4.00697E-03, -4.36565E-03, -4.85502E-03, -5.55331E-03, -6.55867E-03, -7.95234E-03, -9.71446E-03, -1.16032E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.17029E-02,  1.79179E-02,  1.56811E-02,  1.39894E-02,  1.25131E-02,  1.11722E-02,  9.95969E-03,  8.87936E-03,
NA,NA,NA,NA,NA,NA, -3.53491E-03, -3.69825E-03, -3.88572E-03, -4.12622E-03, -4.46225E-03, -4.92625E-03, -5.46624E-03, -5.80774E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.00778E-02,  1.78828E-02,  1.59177E-02,  1.40666E-02,  1.23716E-02,  1.08691E-02,  9.56585E-03,
NA,NA,NA,NA,NA,NA, -3.27399E-03, -3.27267E-03, -3.19961E-03, -3.02159E-03, -2.66471E-03, -1.92625E-03, -2.72792E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.93373E-02,  1.64202E-02,  1.39757E-02,  1.19718E-02,  1.03372E-02,
NA,NA,NA,NA,NA,NA, -2.98011E-03, -2.78373E-03, -2.38407E-03, -1.64166E-03, -2.62354E-04,  2.43892E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.97811E-02,  1.59870E-02,  1.32233E-02,  1.11481E-02,
