NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.15621E-03,  4.27862E-03,  4.21639E-03,  3.97783E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.42016E-03,  4.11518E-03,  4.70731E-03,  5.12168E-03,  5.29789E-03,  5.20817E-03,  4.86683E-03,  4.32527E-03,  3.65577E-03,  2.93247E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.11844E-03,  3.02769E-03,  4.00373E-03,  4.96981E-03,  5.81788E-03,  6.42516E-03,  6.68688E-03,  6.55337E-03,  6.05031E-03,  5.26806E-03,  4.32768E-03,  3.34476E-03,  2.40716E-03,  1.56906E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.20067E-03,  2.19012E-03,  3.36676E-03,  4.68603E-03,  6.04796E-03,  7.28976E-03,  8.20606E-03,  8.60805E-03,  8.40244E-03,  7.63777E-03,  6.47972E-03,  5.13651E-03,  3.78905E-03,  2.55814E-03,  1.50483E-03,  6.46257E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.97641E-05,  9.42386E-04,  2.14851E-03,  3.65706E-03,  5.43772E-03,  7.37265E-03,  9.22357E-03,  1.06440E-02,  1.12823E-02,  1.09547E-02,  9.75748E-03,  8.00669E-03,  6.06685E-03,  4.21695E-03,  2.61201E-03,  1.30667E-03,  2.94530E-04, -4.59988E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.27439E-03, -5.59488E-04,  4.71898E-04,  1.89975E-03,  3.79134E-03,  6.16082E-03,  8.89769E-03,  1.16764E-02,NA,NA,NA,  1.25081E-02,  9.83154E-03,  7.03219E-03,  4.52083E-03,  2.46910E-03,  8.94474E-04, -2.58714E-04, -1.06914E-03, -1.61406E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -2.51187E-03, -2.09296E-03, -1.39353E-03, -3.05051E-04,  1.30573E-03,  3.58204E-03,  6.62940E-03,  1.04039E-02,NA,NA,NA,NA,NA,  1.17542E-02,  7.80173E-03,  4.49795E-03,  1.97515E-03,  1.60621E-04, -1.08414E-03, -1.89838E-03, -2.39931E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -3.45062E-03, -3.14724E-03, -2.54281E-03, -1.49504E-03,  1.88343E-04,  2.74708E-03,  6.42736E-03,NA,NA,NA,NA,NA,NA,NA,  7.91258E-03,  3.82473E-03,  9.21588E-04, -1.02181E-03, -2.25508E-03, -2.98747E-03, -3.37702E-03, -3.53731E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -4.49675E-03, -4.56521E-03, -4.45412E-03, -4.05252E-03, -3.19479E-03, -1.64054E-03,  9.40859E-04,  4.95078E-03,NA,NA,NA,NA,NA,NA,NA,  6.64823E-03,  2.08342E-03, -9.22684E-04, -2.77418E-03, -3.83048E-03, -4.36076E-03, -4.55298E-03, -4.53400E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -5.54176E-03, -5.83865E-03, -6.00459E-03, -5.93316E-03, -5.45687E-03, -4.31867E-03, -2.14175E-03,  1.57352E-03,NA,NA,NA,NA,NA,NA,NA,NA, -1.11512E-03, -3.73878E-03, -5.17091E-03, -5.83147E-03, -6.01399E-03, -5.91198E-03, -5.64926E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -6.65433E-03, -7.23045E-03, -7.75447E-03, -8.14251E-03, -8.25403E-03, -7.86167E-03, -6.61632E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.94041E-03, -7.56688E-03, -8.19475E-03, -8.21879E-03, -7.90274E-03, -7.41197E-03, -6.84627E-03, -6.26392E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -7.78378E-03, -8.67534E-03, -9.62049E-03, -1.05759E-02, -1.14581E-02, -1.21181E-02, -1.23114E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.22150E-02, -1.22486E-02, -1.17097E-02, -1.08802E-02, -9.93705E-03, -8.98216E-03, -8.06988E-03, -7.22627E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -7.80595E-03, -8.86641E-03, -1.00865E-02, -1.14836E-02, -1.30694E-02, -1.48424E-02, -1.67741E-02, -1.87890E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.74340E-02, -1.54634E-02, -1.36333E-02, -1.19847E-02, -1.05263E-02, -9.24964E-03, -8.13868E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -8.54504E-03, -9.83106E-03, -1.13634E-02, -1.31999E-02, -1.54149E-02, -1.81041E-02, -2.13897E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.26269E-02, -1.91134E-02, -1.62427E-02, -1.38833E-02, -1.19312E-02, -1.03059E-02, -8.94433E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -9.13313E-03, -1.06068E-02, -1.24029E-02, -1.46173E-02, -1.73850E-02, -2.08993E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.22646E-02, -1.84481E-02, -1.54596E-02, -1.30802E-02, -1.11585E-02, -9.58751E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -9.52768E-03, -1.11317E-02, -1.31134E-02, -1.55976E-02, -1.87660E-02, -2.28906E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.45234E-02, -2.00018E-02, -1.65543E-02, -1.38685E-02, -1.17374E-02, -1.00202E-02, -8.61843E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -9.69863E-03, -1.13616E-02, -1.34284E-02, -1.60381E-02, -1.93956E-02, -2.38121E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.55739E-02, -2.07136E-02, -1.70486E-02, -1.42194E-02, -1.19918E-02, -1.02083E-02, -8.75997E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -9.63253E-03, -1.12763E-02, -1.33172E-02, -1.58910E-02, -1.91970E-02, -2.35354E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.52625E-02, -2.04931E-02, -1.68866E-02, -1.40977E-02, -1.18989E-02, -1.01365E-02, -8.70398E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -9.33439E-03, -1.08831E-02, -1.27906E-02, -1.51729E-02, -1.81969E-02, -2.21068E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.36453E-02, -1.93717E-02, -1.60877E-02, -1.35157E-02, -1.14667E-02, -9.81038E-03, -8.45442E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -8.82707E-03, -1.02155E-02, -1.18987E-02, -1.39609E-02, -1.65180E-02, -1.97306E-02, -2.38192E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.09674E-02, -1.74941E-02, -1.47415E-02, -1.25309E-02, -1.07336E-02, -9.25593E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -8.14818E-03, -9.32823E-03, -1.07227E-02, -1.23782E-02, -1.43521E-02, -1.67130E-02, -1.95381E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.05829E-02, -1.75882E-02, -1.50831E-02, -1.29899E-02, -1.12365E-02, -9.76167E-03, -8.51555E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -8.28941E-03, -9.36232E-03, -1.05729E-02, -1.19221E-02, -1.33949E-02, -1.49458E-02, -1.64778E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.54590E-02, -1.39005E-02, -1.23949E-02, -1.10021E-02, -9.74547E-03, -8.62797E-03, -7.64258E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -7.17165E-03, -7.92121E-03, -8.69487E-03, -9.44755E-03, -1.00984E-02, -1.05107E-02, -1.04692E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.03070E-02, -1.05603E-02, -1.02692E-02, -9.67843E-03, -8.94810E-03, -8.17496E-03, -7.41405E-03, -6.69458E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -6.04344E-03, -6.49448E-03, -6.87734E-03, -7.11565E-03, -7.08720E-03, -6.60244E-03, -5.38211E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.75819E-03, -6.29832E-03, -6.98962E-03, -7.14341E-03, -6.97664E-03, -6.63108E-03, -6.19616E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -4.96242E-03, -5.15875E-03, -5.22220E-03, -5.06169E-03, -4.53999E-03, -3.45549E-03, -1.52605E-03,  1.60342E-03,NA,NA,NA,NA,NA,NA,NA,NA, -6.46517E-04, -2.92967E-03, -4.25707E-03, -4.93815E-03, -5.19969E-03, -5.19801E-03, -5.03758E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -3.96672E-03, -3.79315E-03, -3.35978E-03, -2.53731E-03, -1.14716E-03,  1.04273E-03,  4.29400E-03,NA,NA,NA,NA,NA,NA,NA,  5.63449E-03,  1.98379E-03, -5.27061E-04, -2.15253E-03, -3.13955E-03, -3.68457E-03, -3.93201E-03, -3.98408E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -2.94632E-03, -2.61616E-03, -2.02605E-03, -1.06981E-03,  3.87732E-04,  2.50260E-03,  5.41505E-03,  9.14698E-03,NA,NA,NA,NA,NA,NA,  6.55917E-03,  3.36858E-03,  1.00377E-03, -6.52595E-04, -1.75763E-03, -2.45515E-03, -2.86092E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.68627E-03, -1.03257E-03, -6.54462E-05,  1.30307E-03,  3.15670E-03,  5.53754E-03,  8.37000E-03,  1.13431E-02,NA,NA,NA,NA,  9.35778E-03,  6.42953E-03,  3.88278E-03,  1.85644E-03,  3.36455E-04, -7.52882E-04, -1.50058E-03, -1.98829E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.77990E-04, -3.26125E-04,  5.75919E-04,  1.77661E-03,  3.30726E-03,  5.15301E-03,  7.20731E-03,  9.22257E-03,  1.08047E-02,  1.15263E-02,  1.11550E-02,  9.81350E-03,  7.89195E-03,  5.81529E-03,  3.88309E-03,  2.24362E-03,  9.36224E-04, -5.92249E-05, -7.87810E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.54450E-04,  9.54148E-04,  1.96416E-03,  3.18503E-03,  4.57833E-03,  6.04401E-03,  7.40551E-03,  8.42616E-03,  8.87839E-03,  8.64675E-03,  7.79151E-03,  6.51462E-03,  5.06002E-03,  3.62822E-03,  2.34377E-03,  1.26292E-03,  3.95583E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.15303E-03,  1.98162E-03,  2.93816E-03,  3.97996E-03,  5.02637E-03,  5.95769E-03,  6.63209E-03,  6.92471E-03,  6.77529E-03,  6.21506E-03,  5.35253E-03,  4.32915E-03,  3.27490E-03,  2.28387E-03,  1.41042E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.65054E-03,  3.43022E-03,  4.18464E-03,  4.83405E-03,  5.29222E-03,  5.48798E-03,  5.38824E-03,  5.01007E-03,  4.41434E-03,  3.68502E-03,  2.90588E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.50393E-03,  3.96654E-03,  4.28649E-03,  4.42164E-03,  4.35290E-03,  4.09007E-03,  3.66881E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
