NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.10876E-03,  5.50617E-03,  5.89505E-03,  6.26796E-03,  6.61687E-03,  6.93340E-03,  7.20919E-03,  7.43637E-03,  7.60804E-03,  7.71871E-03,  7.76473E-03,  7.74456E-03,  7.65886E-03,  7.51051E-03,  7.30430E-03,  7.04664E-03,  6.74508E-03,  6.40784E-03,  6.04334E-03,  5.65979E-03,  5.26488E-03,  4.86555E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.54633E-03,  4.99474E-03,  5.45089E-03,  5.90830E-03,  6.35925E-03,  6.79483E-03,  7.20517E-03,  7.57977E-03,  7.90798E-03,  8.17963E-03,  8.38566E-03,  8.51885E-03,  8.57431E-03,  8.54999E-03,  8.44680E-03,  8.26853E-03,  8.02157E-03,  7.71433E-03,  7.35664E-03,  6.95902E-03,  6.53209E-03,  6.08604E-03,  5.63017E-03,  5.17269E-03,  4.72056E-03,  4.27948E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.82865E-03,  4.29608E-03,  4.78655E-03,  5.29592E-03,  5.81857E-03,  6.34724E-03,  6.87293E-03,  7.38495E-03,  7.87114E-03,  8.31823E-03,  8.71254E-03,  9.04071E-03,  9.29073E-03,  9.45284E-03,  9.52048E-03,  9.49081E-03,  9.36509E-03,  9.14847E-03,  8.84956E-03,  8.47960E-03,  8.05154E-03,  7.57903E-03,  7.07560E-03,  6.55390E-03,  6.02523E-03,  5.49926E-03,  4.98394E-03,  4.48550E-03,  4.00865E-03,  3.55669E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.01400E-03,  3.46839E-03,  3.95729E-03,  4.47947E-03,  5.03249E-03,  5.61235E-03,  6.21317E-03,  6.82694E-03,  7.44328E-03,  8.04941E-03,  8.63029E-03,  9.16906E-03,  9.64790E-03,  1.00491E-02,  1.03563E-02,  1.05563E-02,  1.06399E-02,  1.06032E-02,  1.04479E-02,  1.01813E-02,  9.81511E-03,  9.36461E-03,  8.84715E-03,  8.28067E-03,  7.68252E-03,  7.06852E-03,  6.45237E-03,  5.84540E-03,  5.25653E-03,  4.69243E-03,  4.15781E-03,  3.65568E-03,  3.18771E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.57980E-03,  3.03545E-03,  3.53328E-03,  4.07400E-03,  4.65727E-03,  5.28141E-03,  5.94288E-03,  6.63590E-03,  7.35187E-03,  8.07904E-03,  8.80218E-03,  9.50269E-03,  1.01590E-02,  1.07477E-02,  1.12447E-02,  1.16278E-02,  1.18783E-02,  1.19832E-02,  1.19372E-02,  1.17425E-02,  1.14094E-02,  1.09544E-02,  1.03988E-02,  9.76611E-03,  9.08019E-03,  8.36351E-03,  7.63591E-03,  6.91397E-03,  6.21078E-03,  5.53612E-03,  4.89684E-03,  4.29728E-03,  3.73980E-03,  3.22522E-03,  2.75319E-03,  2.32257E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.09432E-03,  2.53917E-03,  3.03231E-03,  3.57641E-03,  4.17352E-03,  4.82469E-03,  5.52953E-03,  6.28559E-03,  7.08768E-03,  7.92708E-03,  8.79079E-03,  9.66093E-03,  1.05145E-02,  1.13239E-02,  1.20577E-02,  1.26832E-02,  1.31690E-02,  1.34883E-02,  1.36225E-02,  1.35636E-02,  1.33150E-02,  1.28916E-02,  1.23172E-02,  1.16219E-02,  1.08383E-02,  9.99844E-03,  9.13175E-03,  8.26312E-03,  7.41239E-03,  6.59444E-03,  5.81956E-03,  5.09425E-03,  4.42193E-03,  3.80372E-03,  3.23907E-03,  2.72627E-03,  2.26287E-03,  1.84594E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.19542E-03,  1.56990E-03,  1.99229E-03,  2.46704E-03,  2.99865E-03,  3.59146E-03,  4.24941E-03,  4.97563E-03,  5.77181E-03,  6.63748E-03,  7.56895E-03,  8.55817E-03,  9.59143E-03,  1.06482E-02,  1.17004E-02,  1.27122E-02,  1.36416E-02,  1.44429E-02,  1.50710E-02,  1.54866E-02,  1.56620E-02,  1.55849E-02,  1.52608E-02,  1.47117E-02,  1.39731E-02,  1.30883E-02,  1.21034E-02,  1.10624E-02,  1.00036E-02,  8.95832E-03,  7.94987E-03,  6.99455E-03,  6.10248E-03,  5.27889E-03,  4.52539E-03,  3.84103E-03,  3.22315E-03,  2.66809E-03,  2.17162E-03,  1.72928E-03,  1.33657E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.79642E-04,  1.02049E-03,  1.40997E-03,  1.85361E-03,  2.35741E-03,  2.92769E-03,  3.57103E-03,  4.29395E-03,  5.10252E-03,  6.00166E-03,  6.99415E-03,  8.07930E-03,  9.25115E-03,  1.04965E-02,  1.17928E-02,  1.31061E-02,  1.43907E-02,  1.55894E-02,  1.66374E-02,  1.74683E-02,  1.80227E-02,  1.82578E-02,  1.81544E-02,  1.77210E-02,  1.69920E-02,  1.60213E-02,  1.48736E-02,  1.36153E-02,  1.23071E-02,  1.09994E-02,  9.73085E-03,  8.52818E-03,  7.40803E-03,  6.37894E-03,  5.44344E-03,  4.59991E-03,  3.84415E-03,  3.17043E-03,  2.57234E-03,  2.04329E-03,  1.57684E-03,  1.16685E-03,  8.07596E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.60589E-04,  8.08535E-04,  1.21024E-03,  1.67270E-03,  2.20371E-03,  2.81190E-03,  3.50667E-03,  4.29801E-03,  5.19608E-03,  6.21054E-03,  7.34932E-03,  8.61696E-03,  1.00121E-02,  1.15246E-02,  1.31315E-02,  1.47936E-02,  1.64529E-02,  1.80314E-02,  1.94356E-02,  2.05651E-02,  2.13269E-02,  2.16518E-02,  2.15088E-02,  2.09116E-02,  1.99159E-02,  1.86073E-02,  1.70852E-02,  1.54473E-02,  1.37782E-02,  1.21440E-02,  1.05911E-02,  9.14817E-03,  7.83004E-03,  6.64110E-03,  5.57878E-03,  4.63624E-03,  3.80434E-03,  3.07298E-03,  2.43206E-03,  1.87191E-03,  1.38359E-03,  9.58989E-04,  5.90787E-04,  2.72452E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.57329E-05,  2.04312E-04,  5.55711E-04,  9.65981E-04,  1.44377E-03,  1.99901E-03,  2.64309E-03,  3.38896E-03,  4.25109E-03,  5.24520E-03,  6.38767E-03,  7.69424E-03,  9.17808E-03,  1.08466E-02,  1.26973E-02,  1.47112E-02,  1.68466E-02,  1.90318E-02,  2.11611E-02,NA,NA,NA,NA,NA,NA,NA,  2.19503E-02,  1.98788E-02,  1.77010E-02,  1.55357E-02,  1.34678E-02,  1.15499E-02,  9.80902E-03,  8.25332E-03,  6.87870E-03,  5.67379E-03,  4.62356E-03,  3.71170E-03,  2.92213E-03,  2.23984E-03,  1.65127E-03,  1.14443E-03,  7.08827E-04,  3.35340E-04,  1.60260E-05, -2.56028E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.35637E-04, -3.87491E-04, -9.20014E-05,  2.58404E-04,  6.72606E-04,  1.16108E-03,  1.73621E-03,  2.41265E-03,  3.20768E-03,  4.14142E-03,  5.23691E-03,  6.51972E-03,  8.01704E-03,  9.75569E-03,  1.17586E-02,  1.40389E-02,  1.65912E-02,  1.93790E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.05181E-02,  1.76577E-02,  1.50067E-02,  1.26178E-02,  1.05071E-02,  8.66740E-03,  7.07870E-03,  5.71520E-03,  4.54957E-03,  3.55542E-03,  2.70866E-03,  1.98801E-03,  1.37511E-03,  8.54310E-04,  4.12383E-04,  3.81470E-05, -2.77868E-04, -5.43716E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
