NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.91763E-03,  9.09860E-03,  9.25084E-03,  9.37074E-03,  9.45578E-03,  9.50477E-03,  9.51813E-03,  9.49788E-03,  9.44756E-03,  9.37200E-03,  9.27695E-03,  9.16860E-03,  9.05313E-03,  8.93627E-03,  8.82289E-03,  8.71673E-03,  8.62019E-03,  8.53422E-03,  8.45824E-03,  8.39019E-03,  8.32658E-03,  8.26265E-03,  8.19260E-03,  8.10989E-03,  8.00768E-03,  7.87929E-03,  7.71871E-03,  7.52109E-03,  7.28310E-03,  7.00325E-03,  6.68195E-03,  6.32146E-03,  5.92567E-03,  5.49980E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.12425E-03,  9.39268E-03,  9.63909E-03,  9.85722E-03,  1.00411E-02,  1.01858E-02,  1.02875E-02,  1.03445E-02,  1.03569E-02,  1.03272E-02,  1.02603E-02,  1.01625E-02,  1.00416E-02,  9.90598E-03,  9.76410E-03,  9.62363E-03,  9.49111E-03,  9.37156E-03,  9.26820E-03,  9.18231E-03,  9.11323E-03,  9.05831E-03,  9.01302E-03,  8.97111E-03,  8.92489E-03,  8.86563E-03,  8.78410E-03,  8.67123E-03,  8.51885E-03,  8.32034E-03,  8.07121E-03,  7.76946E-03,  7.41574E-03,  7.01315E-03,  6.56697E-03,  6.08416E-03,  5.57275E-03,  5.04134E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.14768E-03,  9.49557E-03,  9.83458E-03,  1.01574E-02,  1.04558E-02,  1.07216E-02,  1.09465E-02,  1.11234E-02,  1.12469E-02,  1.13139E-02,  1.13243E-02,  1.12813E-02,  1.11910E-02,  1.10621E-02,  1.09054E-02,  1.07323E-02,  1.05541E-02,  1.03815E-02,  1.02230E-02,  1.00856E-02,  9.97348E-03,  9.88841E-03,  9.82961E-03,  9.79370E-03,  9.77482E-03,  9.76477E-03,  9.75332E-03,  9.72875E-03,  9.67853E-03,  9.59030E-03,  9.45284E-03,  9.25712E-03,  8.99707E-03,  8.67010E-03,  8.27727E-03,  7.82306E-03,  7.31478E-03,  6.76184E-03,  6.17493E-03,  5.56523E-03,  4.94372E-03,  4.32064E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.39635E-03,  9.80888E-03,  1.02227E-02,  1.06300E-02,  1.10216E-02,  1.13870E-02,  1.17148E-02,  1.19939E-02,  1.22139E-02,  1.23666E-02,  1.24471E-02,  1.24546E-02,  1.23928E-02,  1.22699E-02,  1.20979E-02,  1.18913E-02,  1.16660E-02,  1.14378E-02,  1.12208E-02,  1.10271E-02,  1.08654E-02,  1.07418E-02,  1.06584E-02,  1.06144E-02,  1.06055E-02,  1.06242E-02,  1.06596E-02,  1.06981E-02,  1.07240E-02,  1.07201E-02,  1.06693E-02,  1.05563E-02,  1.03684E-02,  1.00976E-02,  9.74060E-03,  9.29928E-03,  8.78023E-03,  8.19382E-03,  7.55304E-03,  6.87227E-03,  6.16617E-03,  5.44875E-03,  4.73275E-03,  4.02926E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.11974E-03,  9.57453E-03,  1.00482E-02,  1.05360E-02,  1.10311E-02,  1.15243E-02,  1.20040E-02,  1.24567E-02,  1.28669E-02,  1.32190E-02,  1.34980E-02,  1.36915E-02,  1.37914E-02,  1.37954E-02,  1.37078E-02,  1.35394E-02,  1.33068E-02,  1.30304E-02,  1.27323E-02,  1.24344E-02,  1.21561E-02,  1.19137E-02,  1.17191E-02,  1.15798E-02,  1.14992E-02,  1.14761E-02,  1.15052E-02,  1.15767E-02,  1.16765E-02,  1.17864E-02,  1.18850E-02,  1.19487E-02,  1.19536E-02,  1.18783E-02,  1.17053E-02,  1.14235E-02,  1.10292E-02,  1.05257E-02,  9.92300E-03,  9.23617E-03,  8.48339E-03,  7.68422E-03,  6.85801E-03,  6.02270E-03,  5.19407E-03,  4.38535E-03,  3.60720E-03,  2.86776E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.17963E-03,  9.67500E-03,  1.02015E-02,  1.07568E-02,  1.13361E-02,  1.19320E-02,  1.25340E-02,  1.31277E-02,  1.36957E-02,  1.42171E-02,  1.46699E-02,  1.50319E-02,  1.52843E-02,  1.54135E-02,  1.54144E-02,  1.52917E-02,  1.50597E-02,  1.47417E-02,  1.43666E-02,  1.39659E-02,  1.35702E-02,  1.32065E-02,  1.28967E-02,  1.26565E-02,  1.24961E-02,  1.24195E-02,  1.24255E-02,  1.25074E-02,  1.26529E-02,  1.28436E-02,  1.30553E-02,  1.32584E-02,  1.34202E-02,  1.35070E-02,  1.34883E-02,  1.33396E-02,  1.30458E-02,  1.26026E-02,  1.20163E-02,  1.13027E-02,  1.04837E-02,  9.58543E-03,  8.63471E-03,  7.65718E-03,  6.67572E-03,  5.70972E-03,  4.77475E-03,  3.88274E-03,  3.04234E-03,  2.25940E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.17221E-03,  9.69621E-03,  1.02629E-02,  1.08730E-02,  1.15252E-02,  1.22158E-02,  1.29374E-02,  1.36781E-02,  1.44210E-02,  1.51433E-02,  1.58175E-02,  1.64119E-02,  1.68940E-02,  1.72341E-02,  1.74099E-02,  1.74106E-02,  1.72404E-02,  1.69189E-02,  1.64790E-02,  1.59629E-02,  1.54159E-02,  1.48818E-02,  1.43980E-02,  1.39942E-02,  1.36912E-02,  1.35014E-02,  1.34302E-02,  1.34763E-02,  1.36314E-02,  1.38803E-02,  1.41993E-02,  1.45560E-02,  1.49099E-02,  1.52144E-02,  1.54215E-02,  1.54866E-02,  1.53749E-02,  1.50658E-02,  1.45549E-02,  1.38543E-02,  1.29886E-02,  1.19917E-02,  1.09007E-02,  9.75312E-03,  8.58280E-03,  7.41880E-03,  6.28447E-03,  5.19763E-03,  4.17110E-03,  3.21347E-03,  2.32988E-03,  1.52277E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.10376E-03,  9.64283E-03,  1.02341E-02,  1.08816E-02,  1.15885E-02,  1.23558E-02,  1.31818E-02,  1.40602E-02,  1.49789E-02,  1.59183E-02,  1.68501E-02,  1.77375E-02,  1.85356E-02,  1.91959E-02,  1.96713E-02,  1.99237E-02,  1.99322E-02,  1.96986E-02,  1.92494E-02,  1.86329E-02,  1.79117E-02,  1.71533E-02,  1.64207E-02,  1.57668E-02,  1.52313E-02,  1.48407E-02,  1.46102E-02,  1.45461E-02,  1.46469E-02,  1.49032E-02,  1.52965E-02,  1.57970E-02,  1.63619E-02,  1.69348E-02,  1.74490E-02,  1.78336E-02,  1.80227E-02,  1.79652E-02,  1.76326E-02,  1.70224E-02,  1.61567E-02,  1.50765E-02,  1.38334E-02,  1.24824E-02,  1.10753E-02,  9.65682E-03,  8.26326E-03,  6.92196E-03,  5.65231E-03,  4.46707E-03,  3.37373E-03,  2.37576E-03,  1.47367E-03,  6.65813E-04, -5.09906E-05, -6.81037E-04, -1.22939E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.98457E-03,  9.52516E-03,  1.01243E-02,  1.07893E-02,  1.15275E-02,  1.23455E-02,  1.32486E-02,  1.42388E-02,  1.53130E-02,  1.64608E-02,  1.76613E-02,  1.88809E-02,  2.00711E-02,  2.11688E-02,  2.21008E-02,  2.27913E-02,  2.31747E-02,  2.32098E-02,  2.28919E-02,  2.22572E-02,  2.13788E-02,  2.03530E-02,  1.92827E-02,  1.82614E-02,  1.73639E-02,  1.66425E-02,  1.61298E-02,  1.58427E-02,  1.57875E-02,  1.59625E-02,  1.63579E-02,  1.69531E-02,  1.77122E-02,  1.85790E-02,  1.94748E-02,  2.03018E-02,  2.09529E-02,  2.13269E-02,  2.13466E-02,  2.09724E-02,  2.02074E-02,  1.90936E-02,  1.76998E-02,  1.61077E-02,  1.43985E-02,  1.26443E-02,  1.09035E-02,  9.21987E-03,  7.62367E-03,  6.13424E-03,  4.76241E-03,  3.51282E-03,  2.38575E-03,  1.37855E-03,  4.86606E-04, -2.95991E-04, -9.75990E-04, -1.56067E-03, -2.05762E-03, -2.47458E-03, -2.81928E-03, -3.09934E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.82746E-03,  9.35759E-03,  9.94906E-03,  1.06116E-02,  1.13562E-02,  1.21947E-02,  1.31391E-02,  1.42009E-02,  1.53889E-02,  1.67070E-02,  1.81501E-02,  1.96998E-02,  2.13190E-02,  2.29465E-02,  2.44949E-02,  2.58530E-02,NA,NA,NA,NA,NA,NA,  2.35045E-02,  2.19629E-02,  2.05135E-02,  1.92624E-02,  1.82771E-02,  1.75939E-02,  1.72280E-02,  1.71836E-02,  1.74586E-02,  1.80450E-02,  1.89236E-02,  2.00544E-02,  2.13658E-02,  2.27474E-02,NA,NA,NA,NA,NA,NA,  2.29167E-02,  2.10489E-02,  1.89481E-02,  1.67357E-02,  1.45113E-02,  1.23486E-02,  1.02972E-02,  8.38737E-03,  6.63473E-03,  5.04488E-03,  3.61680E-03,  2.34541E-03,  1.22318E-03,  2.41269E-04, -6.09906E-04, -1.34026E-03, -1.95986E-03, -2.47873E-03, -2.90679E-03, -3.25375E-03, -3.52896E-03, -3.74134E-03, -3.89930E-03, -4.01062E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
