NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.26999E-03, -6.34614E-03, -6.37706E-03, -6.36142E-03, -6.29990E-03, -6.19510E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.40718E-03, -6.63729E-03, -6.83001E-03, -6.97734E-03, -7.07266E-03, -7.11146E-03, -7.09183E-03, -7.01474E-03, -6.88389E-03, -6.70529E-03, -6.48656E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.43911E-03, -6.77968E-03, -7.09878E-03, -7.38511E-03, -7.62694E-03, -7.81308E-03, -7.93412E-03, -7.98352E-03, -7.95852E-03, -7.86052E-03, -7.69489E-03, -7.47022E-03, -7.19726E-03, -6.88766E-03, -6.55298E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.66019E-03, -7.08744E-03, -7.50618E-03, -7.90337E-03, -8.26388E-03, -8.57148E-03, -8.81025E-03, -8.96645E-03, -9.03042E-03, -8.99803E-03, -8.87138E-03, -8.65844E-03, -8.37182E-03, -8.02691E-03, -7.64005E-03, -7.22686E-03, -6.80112E-03, -6.37423E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.79182E-03, -7.30387E-03, -7.82584E-03, -8.34498E-03, -8.84458E-03, -9.30435E-03, -9.70154E-03, -1.00131E-02, -1.02184E-02, -1.03029E-02, -1.02601E-02, -1.00933E-02, -9.81467E-03, -9.44320E-03, -9.00146E-03, -8.51258E-03, -7.99784E-03, -7.47520E-03, -6.95871E-03, -6.45861E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -6.82020E-03, -7.40694E-03, -8.02584E-03, -8.66721E-03, -9.31607E-03, -9.95138E-03, -1.05459E-02, -1.10674E-02, -1.14818E-02, -1.17576E-02, -1.18717E-02, -1.18138E-02, -1.15893E-02, -1.12173E-02, -1.07273E-02, -1.01531E-02, -9.52798E-03, -8.88095E-03, -8.23517E-03, -7.60757E-03, -7.00944E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -6.74030E-03, -7.38399E-03, -8.08277E-03, -8.83275E-03, -9.62467E-03, -1.04420E-02, -1.12588E-02, -1.20389E-02, -1.27364E-02, -1.33000E-02,NA,NA,NA, -1.34475E-02, -1.29393E-02, -1.22801E-02, -1.15218E-02, -1.07125E-02, -9.89206E-03, -9.08953E-03, -8.32441E-03, -7.60811E-03, -6.94610E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -7.23479E-03, -7.98773E-03, -8.81926E-03, -9.72898E-03, -1.07102E-02, -1.17465E-02, -1.28079E-02, -1.38473E-02,NA,NA,NA,NA,NA,NA,NA,NA, -1.31554E-02, -1.20952E-02, -1.10465E-02, -1.00448E-02, -9.11036E-03, -8.25279E-03, -7.47420E-03, -6.77224E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -6.97157E-03, -7.74864E-03, -8.62581E-03, -9.61240E-03, -1.07146E-02, -1.19319E-02, -1.32522E-02, -1.46446E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.37050E-02, -1.23563E-02, -1.11030E-02, -9.96241E-03, -8.93821E-03, -8.02594E-03, -7.21703E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -7.38795E-03, -8.27302E-03, -9.28846E-03, -1.04525E-02, -1.17822E-02, -1.32897E-02, -1.49749E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.38255E-02, -1.22587E-02, -1.08713E-02, -9.65448E-03, -8.59212E-03, -7.66610E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -7.79665E-03, -8.79593E-03, -9.96098E-03, -1.13225E-02, -1.29141E-02, -1.47692E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.54426E-02, -1.34943E-02, -1.18195E-02, -1.03860E-02, -9.15984E-03, -8.10911E-03, -7.20590E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -7.23809E-03, -8.18642E-03, -9.30238E-03, -1.06235E-02, -1.21965E-02, -1.40779E-02, -1.63341E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.47760E-02, -1.27789E-02, -1.11111E-02, -9.71269E-03, -8.53371E-03, -7.53384E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -7.51138E-03, -8.54505E-03, -9.77533E-03, -1.12521E-02, -1.30405E-02, -1.52260E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.60506E-02, -1.37115E-02, -1.18028E-02, -1.02315E-02, -8.92629E-03, -7.83261E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -7.74800E-03, -8.86051E-03, -1.01972E-02, -1.18205E-02, -1.38149E-02, -1.62976E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.72480E-02, -1.45717E-02, -1.24313E-02, -1.06965E-02, -9.27326E-03, -8.09270E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -7.94065E-03, -9.12228E-03, -1.05524E-02, -1.23043E-02, -1.44807E-02, -1.72279E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.82912E-02, -1.53135E-02, -1.29680E-02, -1.10894E-02, -9.56265E-03, -8.30593E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -8.08400E-03, -9.32270E-03, -1.08292E-02, -1.26852E-02, -1.50068E-02, -1.79628E-02, -2.18059E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.91147E-02, -1.58998E-02, -1.33913E-02, -1.13969E-02, -9.78576E-03, -8.46632E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -8.17510E-03, -9.45787E-03, -1.10220E-02, -1.29542E-02, -1.53779E-02, -1.84738E-02, -2.25141E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.41171E-02, -1.96831E-02, -1.63121E-02, -1.36906E-02, -1.16125E-02, -9.93822E-03, -8.57065E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -9.52768E-03, -1.11317E-02, -1.31134E-02, -1.55976E-02, -1.87660E-02, -2.28906E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.45234E-02, -2.00018E-02, -1.65543E-02, -1.38685E-02, -1.17374E-02, -1.00202E-02, -8.61843E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -9.53493E-03, -1.11640E-02, -1.31737E-02, -1.56855E-02, -1.88739E-02, -2.29961E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.46188E-02, -2.01125E-02, -1.66502E-02, -1.39382E-02, -1.17787E-02, -1.00353E-02, -8.61119E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -9.48371E-03, -1.11271E-02, -1.31505E-02, -1.56696E-02, -1.88473E-02, -2.29186E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.00751E-02, -1.66335E-02, -1.39184E-02, -1.17466E-02, -9.98863E-03, -8.55133E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -9.37737E-03, -1.10282E-02, -1.30578E-02, -1.55758E-02, -1.87330E-02, -2.27406E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.99462E-02, -1.65360E-02, -1.38266E-02, -1.16500E-02, -9.88466E-03, -8.44068E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -9.21679E-03, -1.08705E-02, -1.29031E-02, -1.54197E-02, -1.85604E-02, -2.25144E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.97615E-02, -1.63769E-02, -1.36723E-02, -1.14934E-02, -9.72483E-03, -8.27934E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -8.99941E-03, -1.06514E-02, -1.26849E-02, -1.52022E-02, -1.83349E-02, -2.22532E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.37510E-02, -1.95288E-02, -1.61584E-02, -1.34547E-02, -1.12744E-02, -9.50652E-03, -8.06492E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -8.71914E-03, -1.03626E-02, -1.23923E-02, -1.49095E-02, -1.80403E-02, -2.19386E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.34202E-02, -1.92309E-02, -1.58657E-02, -1.31618E-02, -1.09838E-02, -9.22297E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -8.36722E-03, -9.99115E-03, -1.20068E-02, -1.45166E-02, -1.76444E-02, -2.15326E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.30047E-02, -1.88335E-02, -1.54716E-02, -1.27731E-02, -1.06071E-02, -8.86413E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -7.93368E-03, -9.52152E-03, -1.15053E-02, -1.39908E-02, -1.71044E-02, -2.09850E-02, -2.57605E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.24536E-02, -1.82907E-02, -1.49401E-02, -1.22626E-02, -1.01263E-02, -8.41844E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -7.40940E-03, -8.93828E-03, -1.08633E-02, -1.32955E-02, -1.63687E-02, -2.02310E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.16994E-02, -1.75462E-02, -1.42296E-02, -1.16021E-02, -9.52349E-03, -7.87495E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -6.78826E-03, -8.22917E-03, -1.00588E-02, -1.23937E-02, -1.53798E-02, -1.91871E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.06500E-02, -1.65342E-02, -1.32971E-02, -1.07653E-02, -8.78360E-03, -7.22585E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -6.06952E-03, -7.38859E-03, -9.07710E-03, -1.12548E-02, -1.40796E-02, -1.77523E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.51843E-02, -1.21046E-02, -9.73330E-03, -7.89864E-03, -6.46912E-03, -5.34617E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -5.25983E-03, -6.42110E-03, -7.91694E-03, -9.86370E-03, -1.24236E-02, -1.58232E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.34370E-02, -1.06294E-02, -8.50135E-03, -6.87180E-03, -5.61099E-03, -4.62551E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -4.37464E-03, -5.34428E-03, -6.59609E-03, -8.23263E-03, -1.04033E-02, -1.33332E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.12703E-02, -8.87934E-03, -7.08636E-03, -5.72106E-03, -4.66771E-03, -3.84548E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -3.43828E-03, -4.18984E-03, -5.15511E-03, -6.41093E-03, -8.07110E-03, -1.03133E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.73382E-03, -6.90593E-03, -5.53192E-03, -4.48090E-03, -3.66584E-03, -3.02641E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -2.48237E-03, -3.00179E-03, -3.65603E-03, -4.48688E-03, -5.55285E-03, -6.94024E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.48864E-03, -5.96885E-03, -4.80842E-03, -3.90767E-03, -3.20056E-03, -2.64060E-03, -2.19383E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -1.54257E-03, -1.83151E-03, -2.17489E-03, -2.57659E-03, -3.03281E-03, -3.52113E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.67979E-03, -3.19205E-03, -2.72136E-03, -2.30069E-03, -1.93829E-03, -1.63208E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -6.54127E-04, -7.30388E-04, -7.89024E-04, -8.01059E-04, -7.09645E-04, -4.02294E-04,  3.49238E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.63951E-04, -2.20285E-04, -6.40242E-04, -7.86367E-04, -8.00164E-04, -7.52676E-04, -6.80087E-04,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  2.57870E-04,  4.36722E-04,  7.39979E-04,  1.25653E-03,  2.14600E-03,  3.70413E-03,  6.49819E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.85522E-03,  4.44798E-03,  2.56489E-03,  1.49744E-03,  8.80590E-04,  5.19495E-04,  3.06701E-04,  1.81275E-04,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  1.10305E-03,  1.46012E-03,  1.98662E-03,  2.77992E-03,  4.00190E-03,  5.92631E-03,  9.02106E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.04186E-02,  6.78551E-03,  4.54012E-03,  3.12446E-03,  2.21212E-03,  1.61098E-03,  1.20616E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  2.26510E-03,  2.92351E-03,  3.85391E-03,  5.19048E-03,  7.13708E-03,  9.99454E-03,  1.41711E-02,NA,NA,NA,NA,NA,NA,NA,  1.59123E-02,  1.12018E-02,  7.95951E-03,  5.75163E-03,  4.24088E-03,  3.19442E-03,  2.45802E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.57189E-03,  4.53041E-03,  5.82984E-03,  7.59777E-03,  9.98966E-03,  1.31547E-02,  1.71281E-02,  2.15948E-02,NA,NA,NA,  2.30305E-02,  1.85762E-02,  1.43791E-02,  1.09408E-02,  8.30847E-03,  6.35310E-03,  4.91509E-03,  3.85636E-03,  3.07116E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.89001E-03,  6.06798E-03,  7.57657E-03,  9.47684E-03,  1.17886E-02,  1.44234E-02,  1.70907E-02,  1.92499E-02,  2.02550E-02,  1.97362E-02,  1.78902E-02,  1.53197E-02,  1.26298E-02,  1.01939E-02,  8.15676E-03,  6.52490E-03,  5.24562E-03,  4.25131E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.04004E-03,  7.28261E-03,  8.75537E-03,  1.04283E-02,  1.21985E-02,  1.38617E-02,  1.51237E-02,  1.56875E-02,  1.53984E-02,  1.43374E-02,  1.27710E-02,  1.10083E-02,  9.28736E-03,  7.74251E-03,  6.42392E-03,  5.33117E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.85547E-03,  7.98740E-03,  9.20446E-03,  1.04214E-02,  1.15050E-02,  1.22917E-02,  1.26338E-02,  1.24591E-02,  1.18050E-02,  1.08006E-02,  9.61078E-03,  8.38195E-03,  7.21547E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
