NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.73312E-03,  8.49563E-03,  9.18533E-03,  9.74432E-03,  1.01173E-02,  1.02631E-02,  1.01647E-02,  9.83353E-03,  9.30686E-03,  8.63812E-03,  7.88551E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.61393E-03,  7.57760E-03,  8.59469E-03,  9.61322E-03,  1.05595E-02,  1.13440E-02,  1.18764E-02,  1.20865E-02,  1.19445E-02,  1.14707E-02,  1.07287E-02,  9.80675E-03,  8.79594E-03,  7.77377E-03,  6.79660E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  5.03157E-03,  5.95355E-03,  7.02712E-03,  8.24593E-03,  9.57985E-03,  1.09648E-02,  1.22960E-02,  1.34332E-02,  1.42225E-02,  1.45379E-02,  1.43245E-02,  1.36197E-02,  1.25387E-02,  1.12335E-02,  9.84958E-03,  8.49941E-03,  7.25477E-03,  6.15168E-03,  5.20033E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  4.12704E-03,  5.00279E-03,  6.07850E-03,  7.38119E-03,  8.92343E-03,  1.06874E-02,  1.26035E-02,  1.45285E-02,  1.62395E-02,  1.74648E-02,  1.79633E-02,  1.76254E-02,  1.65262E-02,  1.48884E-02,  1.29855E-02,  1.10538E-02,  9.25253E-03,  7.66418E-03,  6.31492E-03,  5.19663E-03,  4.28418E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  3.10858E-03,  3.85504E-03,  4.81566E-03,  6.04609E-03,  7.60564E-03,  9.54577E-03,  1.18867E-02,  1.45774E-02,  1.74414E-02,  2.01298E-02,NA,NA,NA,NA,  1.79954E-02,  1.51327E-02,  1.23892E-02,  9.97266E-03,  7.95413E-03,  6.32359E-03,  5.03338E-03,  4.02455E-03,  3.24019E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  2.63751E-03,  3.39074E-03,  4.40459E-03,  5.76783E-03,  7.58963E-03,  9.99160E-03,  1.30817E-02,  1.68931E-02,NA,NA,NA,NA,NA,NA,NA,  1.77151E-02,  1.37722E-02,  1.05396E-02,  8.01024E-03,  6.08457E-03,  4.64075E-03,  3.56617E-03,  2.76793E-03,  2.17374E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,  1.47472E-03,  1.97553E-03,  2.68444E-03,  3.69256E-03,  5.12875E-03,  7.17055E-03,  1.00510E-02,  1.40479E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.49848E-02,  1.07363E-02,  7.66004E-03,  5.47419E-03,  3.93514E-03,  2.85476E-03,  2.09549E-03,  1.55968E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  4.58725E-04,  7.10995E-04,  1.09766E-03,  1.69047E-03,  2.59978E-03,  3.99473E-03,  6.13232E-03,  9.39629E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.02109E-02,  6.66777E-03,  4.34466E-03,  2.82797E-03,  1.83921E-03,  1.19464E-03,  7.74266E-04,  5.00003E-04,NA,NA,NA,NA,
NA,NA,NA,NA, -3.20754E-04, -2.16703E-04, -7.45344E-06,  3.78797E-04,  1.06078E-03,  2.23528E-03,  4.22918E-03,  7.58613E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.47162E-03,  4.75679E-03,  2.54773E-03,  1.24389E-03,  4.84177E-04,  5.12990E-05, -1.85792E-04, -3.06314E-04,NA,NA,NA,NA,
NA,NA,NA,NA, -1.20669E-03, -1.29486E-03, -1.32922E-03, -1.25027E-03, -9.50186E-04, -2.34105E-04,  1.25141E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.68027E-03, -1.89250E-05, -8.51024E-04, -1.21350E-03, -1.32521E-03, -1.30720E-03, -1.22638E-03, -1.11935E-03,NA,NA,NA,
NA,NA,NA, -1.88850E-03, -2.17374E-03, -2.49130E-03, -2.82821E-03, -3.15185E-03, -3.39058E-03, -3.39581E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.34766E-03, -3.41661E-03, -3.20850E-03, -2.89413E-03, -2.55637E-03, -2.23357E-03, -1.94155E-03,NA,NA,NA,
NA,NA,NA, -2.71015E-03, -3.18502E-03, -3.75504E-03, -4.43384E-03, -5.22875E-03, -6.12902E-03, -7.08011E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.26172E-03, -6.31409E-03, -5.39752E-03, -4.58026E-03, -3.87896E-03, -3.28863E-03, -2.79631E-03,NA,NA,NA,
NA,NA,NA, -3.53045E-03, -4.19529E-03, -5.02046E-03, -6.04948E-03, -7.33656E-03, -8.94678E-03, -1.09521E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.30588E-03, -7.62407E-03, -6.27917E-03, -5.20427E-03, -4.34294E-03, -3.64969E-03,NA,NA,NA,
NA,NA,NA, -4.31645E-03, -5.15647E-03, -6.21597E-03, -7.56600E-03, -9.30491E-03, -1.15708E-02, -1.45616E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.20916E-02, -9.70171E-03, -7.87205E-03, -6.45469E-03, -5.34464E-03, -4.46626E-03,NA,NA,NA,
NA,NA,NA, -5.03830E-03, -6.02480E-03, -7.27570E-03, -8.88162E-03, -1.09718E-02, -1.37350E-02, -1.74554E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.43767E-02, -1.14524E-02, -9.24767E-03, -7.55865E-03, -6.24640E-03, -5.21392E-03,NA,NA,NA,
NA,NA,NA, -5.67354E-03, -6.76783E-03, -8.15147E-03, -9.92265E-03, -1.22211E-02, -1.52501E-02, -1.93141E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.59522E-02, -1.27486E-02, -1.03257E-02, -8.46393E-03, -7.01324E-03, -5.86858E-03,NA,NA,NA,
NA,NA,NA, -6.21019E-03, -7.36956E-03, -8.82145E-03, -1.06587E-02, -1.30097E-02, -1.60545E-02, -2.00501E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.09729E-02, -1.67519E-02, -1.35442E-02, -1.10736E-02, -9.14726E-03, -7.62819E-03, -6.41758E-03,NA,NA,NA,
NA,NA,NA, -6.64791E-03, -7.83226E-03, -9.29308E-03, -1.11073E-02, -1.33747E-02, -1.62243E-02, -1.98203E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.06283E-02, -1.68635E-02, -1.38820E-02, -1.15118E-02, -9.61756E-03, -8.09428E-03, -6.86096E-03,NA,NA,NA,
NA,NA,NA, -6.99709E-03, -8.17473E-03, -9.59957E-03, -1.13267E-02, -1.34189E-02, -1.59428E-02, -1.89563E-02, -2.24845E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.32326E-02, -1.96065E-02, -1.64925E-02, -1.38769E-02, -1.17053E-02, -9.91192E-03, -8.43254E-03, -7.21042E-03,NA,NA,NA,
NA,NA,NA,NA, -8.42735E-03, -9.79128E-03, -1.14004E-02, -1.32818E-02, -1.54442E-02, -1.78546E-02, -2.03964E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.08900E-02, -1.83475E-02, -1.58986E-02, -1.36831E-02, -1.17466E-02, -1.00859E-02, -8.67652E-03, -7.48615E-03,NA,NA,NA,
NA,NA,NA,NA, -8.62565E-03, -9.92472E-03, -1.14185E-02, -1.31065E-02, -1.49568E-02, -1.68775E-02, -1.86704E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.89785E-02, -1.72472E-02, -1.53315E-02, -1.34576E-02, -1.17340E-02, -1.02015E-02, -8.86514E-03, -7.71255E-03,NA,NA,NA,
NA,NA,NA, -7.71176E-03, -8.80366E-03, -1.00521E-02, -1.14603E-02, -1.30132E-02, -1.46605E-02, -1.62901E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.65908E-02, -1.49858E-02, -1.33306E-02, -1.17538E-02, -1.03152E-02, -9.03540E-03, -7.91365E-03,NA,NA,NA,
NA,NA,NA, -7.90898E-03, -8.98854E-03, -1.02130E-02, -1.15831E-02, -1.30824E-02, -1.46651E-02, -1.62353E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.65279E-02, -1.49775E-02, -1.33877E-02, -1.18672E-02, -1.04699E-02, -9.21661E-03, -8.10922E-03,NA,NA,NA,
NA,NA,NA, -8.11049E-03, -9.19707E-03, -1.04305E-02, -1.18163E-02, -1.33493E-02, -1.50063E-02, -1.67362E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.70764E-02, -1.53413E-02, -1.36650E-02, -1.21051E-02, -1.06897E-02, -9.42663E-03, -8.31208E-03,NA,NA,NA,
NA,NA,NA, -8.32065E-03, -9.43426E-03, -1.07089E-02, -1.21614E-02, -1.38064E-02, -1.56556E-02, -1.77185E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.60421E-02, -1.41520E-02, -1.24678E-02, -1.09787E-02, -9.67050E-03, -8.52676E-03,NA,NA,NA,
NA,NA,NA, -8.53620E-03, -9.69367E-03, -1.10360E-02, -1.25955E-02, -1.44120E-02, -1.65371E-02, -1.90451E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.69949E-02, -1.48017E-02, -1.29294E-02, -1.13230E-02, -9.94092E-03, -8.74953E-03,NA,NA,NA,
NA,NA,NA, -8.74722E-03, -9.95926E-03, -1.13860E-02, -1.30772E-02, -1.50998E-02, -1.75466E-02, -2.05523E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.80857E-02, -1.55418E-02, -1.34445E-02, -1.16944E-02, -1.02202E-02, -8.96948E-03,NA,NA,NA,
NA,NA,NA, -8.93888E-03, -1.02080E-02, -1.17234E-02, -1.35524E-02, -1.57887E-02, -1.85647E-02, -2.20711E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.28647E-02, -1.91862E-02, -1.62845E-02, -1.39545E-02, -1.20542E-02, -1.04834E-02, -9.17044E-03,NA,NA,NA,
NA,NA,NA, -9.09371E-03, -1.04134E-02, -1.20081E-02, -1.39611E-02, -1.63903E-02, -1.94648E-02, -2.34290E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.43369E-02, -2.01613E-02, -1.69348E-02, -1.43946E-02, -1.23590E-02, -1.07017E-02, -9.33347E-03,NA,NA,NA,
NA,NA,NA, -9.19418E-03, -1.05491E-02, -1.22006E-02, -1.42442E-02, -1.68168E-02, -2.01184E-02, -2.44433E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.54438E-02, -2.08729E-02, -1.73980E-02, -1.47008E-02, -1.25661E-02, -1.08465E-02, -9.43956E-03, -8.27282E-03,NA,NA,
NA,NA, -8.09307E-03, -9.22528E-03, -1.05927E-02, -1.22672E-02, -1.43510E-02, -1.69917E-02, -2.04077E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.11927E-02, -1.75908E-02, -1.48183E-02, -1.26390E-02, -1.08935E-02, -9.47247E-03, -8.29883E-03,NA,NA,
NA,NA, -8.05764E-03, -9.17669E-03, -1.05288E-02, -1.21855E-02, -1.42478E-02, -1.68624E-02, -2.02474E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.10260E-02, -1.74558E-02, -1.47104E-02, -1.25533E-02, -1.08264E-02, -9.42108E-03, -8.26097E-03,NA,NA,
NA,NA, -7.95859E-03, -9.04435E-03, -1.03521E-02, -1.19478E-02, -1.39240E-02, -1.64132E-02, -1.96103E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.03419E-02, -1.69757E-02, -1.43658E-02, -1.23012E-02, -1.06393E-02, -9.28105E-03, -8.15610E-03,NA,NA,
NA,NA, -7.79748E-03, -8.83096E-03, -1.00673E-02, -1.15630E-02, -1.33952E-02, -1.56713E-02, -1.85430E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.91921E-02, -1.61807E-02, -1.38018E-02, -1.18922E-02, -1.03375E-02, -9.05542E-03, -7.98595E-03,NA,NA,
NA,NA,NA, -8.54540E-03, -9.68854E-03, -1.10539E-02, -1.26996E-02, -1.47013E-02, -1.71580E-02, -2.01971E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.77025E-02, -1.51428E-02, -1.30606E-02, -1.13519E-02, -9.93668E-03, -8.75390E-03, -7.75671E-03,NA,NA,
NA,NA,NA, -8.20120E-03, -9.23674E-03, -1.04535E-02, -1.18898E-02, -1.35901E-02, -1.56028E-02, -1.79704E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.84773E-02, -1.60372E-02, -1.39579E-02, -1.22003E-02, -1.07160E-02, -9.45952E-03, -8.39120E-03,NA,NA,NA,
