NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.79708E-03,  9.09043E-03,  9.24958E-03,  9.26317E-03,  9.14273E-03,  8.92218E-03,  8.64996E-03,  8.37627E-03,  8.13929E-03,  7.95453E-03,  7.81027E-03,  7.67058E-03,  7.48509E-03,  7.20322E-03,  6.78837E-03,  6.22744E-03,  5.53277E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.07489E-03,  9.73014E-03,  1.03028E-02,  1.07306E-02,  1.09604E-02,  1.09671E-02,  1.07666E-02,  1.04165E-02,  1.00018E-02,  9.61212E-03,  9.31575E-03,  9.14089E-03,  9.06737E-03,  9.03140E-03,  8.94286E-03,  8.71111E-03,  8.27166E-03,  7.60353E-03,  6.73108E-03,  5.71162E-03,  4.61676E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  9.51675E-03,  1.04545E-02,  1.13909E-02,  1.22379E-02,  1.28868E-02,  1.32354E-02,  1.32272E-02,  1.28816E-02,  1.22976E-02,  1.16279E-02,  1.10336E-02,  1.06381E-02,  1.04931E-02,  1.05640E-02,  1.07378E-02,  1.08517E-02,  1.07408E-02,  1.02903E-02,  9.46905E-03,  8.32926E-03,  6.97711E-03,  5.53392E-03,  4.10668E-03,  2.77408E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  9.63922E-03,  1.08103E-02,  1.21144E-02,  1.34817E-02,  1.47783E-02,  1.58112E-02,  1.63769E-02,  1.63464E-02,  1.57378E-02,  1.47270E-02,  1.35930E-02,  1.26301E-02,  1.20615E-02,  1.19813E-02,  1.23320E-02,  1.29141E-02,  1.34306E-02,  1.35742E-02,  1.31346E-02,  1.20709E-02,  1.05021E-02,  8.63364E-03,  6.67467E-03,  4.78889E-03,  3.08100E-03,  1.60421E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  9.44157E-03,  1.07191E-02,  1.22657E-02,  1.40888E-02,  1.61243E-02,  1.81821E-02,  1.99193E-02,  2.09139E-02,  2.08636E-02,  1.97727E-02,  1.79683E-02,  1.59749E-02,  1.43376E-02,  1.34581E-02,  1.35030E-02,  1.43798E-02,  1.57447E-02,  1.70530E-02,  1.77094E-02,  1.73090E-02,  1.58129E-02,  1.35074E-02,  1.08056E-02,  8.06933E-03,  5.53786E-03,  3.33513E-03,  1.50343E-03,  3.57226E-05, -1.10133E-03, -1.95287E-03, -2.56711E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,  9.01771E-03,  1.02505E-02,  1.18215E-02,  1.38313E-02,  1.63667E-02,  1.94321E-02,  2.28131E-02,NA,NA,NA,NA,NA,  1.88574E-02,  1.59739E-02,  1.45321E-02,  1.48005E-02,  1.66412E-02,NA,NA,NA,NA,NA,  1.77106E-02,  1.36219E-02,  9.70848E-03,  6.28049E-03,  3.44354E-03,  1.19168E-03, -5.32941E-04, -1.80787E-03, -2.71406E-03, -3.32765E-03, -3.71596E-03, -3.93569E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  8.50815E-03,  9.59151E-03,  1.09915E-02,  1.28529E-02,  1.53781E-02,  1.88200E-02,  2.34103E-02,NA,NA,NA,NA,NA,NA,NA,NA,  1.46643E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.14803E-02,  6.85513E-03,  3.24825E-03,  5.33810E-04, -1.43939E-03, -2.81781E-03, -3.73295E-03, -4.29800E-03, -4.60677E-03, -4.73414E-03, -4.73755E-03, -4.65943E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  8.93968E-03,  1.00863E-02,  1.15966E-02,  1.36786E-02,  1.66683E-02,  2.10893E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.30624E-02,  6.96061E-03,  2.50428E-03, -6.58767E-04, -2.82331E-03, -4.23003E-03, -5.07537E-03, -5.51825E-03, -5.68395E-03, -5.66744E-03, -5.53754E-03, -5.34185E-03, -5.11185E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,  8.41079E-03,  9.33591E-03,  1.04899E-02,  1.20117E-02,  1.41530E-02,  1.73712E-02,  2.24978E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.11735E-03,  8.70246E-04, -2.62935E-03, -4.85514E-03, -6.15812E-03, -6.81041E-03, -7.02429E-03, -6.96053E-03, -6.73460E-03, -6.42433E-03, -6.07877E-03, -5.72677E-03, -5.38401E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,  8.81050E-03,  9.72782E-03,  1.08306E-02,  1.22391E-02,  1.41959E-02,  1.71911E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.68864E-03, -2.07361E-03, -5.66702E-03, -7.73099E-03, -8.72474E-03, -9.00286E-03, -8.83905E-03, -8.43302E-03, -7.91840E-03, -7.37581E-03, -6.84840E-03, -6.35572E-03, -5.90413E-03, -5.49340E-03,NA,NA,NA,NA,NA,
