NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.58148E-03,  5.94758E-03,  6.21016E-03,  6.40812E-03,  6.58516E-03,NA,  6.98975E-03,  7.21671E-03,  7.42270E-03,  7.56615E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.62322E-03,  5.53331E-03,  6.29581E-03,  6.86492E-03,  7.23421E-03,  7.44282E-03,  7.56435E-03,  7.68176E-03,  7.85860E-03,  8.11755E-03,  8.43348E-03,  8.74295E-03,  8.96736E-03,  9.04099E-03,  8.93236E-03,  8.64986E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.12288E-03,  4.43897E-03,  5.76166E-03,  6.97675E-03,  7.96369E-03,  8.63329E-03,  8.96764E-03,  9.03801E-03,  8.98474E-03,  8.96651E-03,  9.10366E-03,  9.43797E-03,  9.92003E-03,  1.04269E-02,  1.08072E-02,  1.09380E-02,  1.07682E-02,  1.03261E-02,  9.69155E-03,  8.95834E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.10162E-03,  3.69604E-03,  5.46980E-03,  7.30094E-03,  9.00295E-03,  1.03533E-02,  1.11670E-02,  1.13905E-02,  1.11540E-02,  1.07308E-02,  1.04284E-02,  1.04750E-02,  1.09471E-02,  1.17489E-02,  1.26406E-02,  1.33234E-02,  1.35602E-02,  1.32716E-02,  1.25416E-02,  1.15428E-02,  1.04486E-02,  9.38293E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.75591E-03, -7.84417E-04,  5.30123E-04,  2.23010E-03,  4.32609E-03,  6.76663E-03,  9.39637E-03,  1.19187E-02,  1.39131E-02,  1.49719E-02,  1.49360E-02,  1.40487E-02,  1.28645E-02,  1.19886E-02,  1.18484E-02,  1.25823E-02,  1.40112E-02,  1.56705E-02,  1.69518E-02,  1.73739E-02,  1.68213E-02,  1.55367E-02,  1.39029E-02,  1.22379E-02,  1.07231E-02,  9.42506E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.87408E-03, -3.66216E-03, -3.24573E-03, -2.54753E-03, -1.47689E-03,  6.52190E-05,  2.17565E-03,  4.92791E-03,  8.32813E-03,  1.22294E-02,  1.62020E-02,NA,NA,NA,NA,  1.54154E-02,  1.34096E-02,  1.29051E-02,  1.41361E-02,  1.68031E-02,NA,NA,NA,  2.20692E-02,  1.96508E-02,  1.68842E-02,  1.43247E-02,  1.21858E-02,  1.04792E-02,  9.13605E-03,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.54138E-03, -4.67571E-03, -4.72457E-03, -4.63057E-03, -4.31289E-03, -3.66401E-03, -2.54879E-03, -8.06020E-04,  1.74701E-03,  5.30273E-03,  1.00244E-02,NA,NA,NA,NA,NA,NA,NA,  1.41043E-02,  1.29292E-02,NA,NA,NA,NA,NA,NA,NA,  2.05035E-02,  1.66031E-02,  1.36623E-02,  1.14975E-02,  9.89308E-03,  8.67415E-03,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.92633E-03, -5.22741E-03, -5.50852E-03, -5.73059E-03, -5.82865E-03, -5.70264E-03, -5.20957E-03, -4.15855E-03, -2.30775E-03,  6.42170E-04,  5.06501E-03,  1.14297E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.87586E-02,  1.49453E-02,  1.23671E-02,  1.05617E-02,  9.23374E-03,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.10126E-03, -5.50976E-03, -5.95464E-03, -6.42366E-03, -6.88494E-03, -7.27306E-03, -7.47222E-03, -7.30040E-03, -6.49948E-03, -4.73051E-03, -1.56017E-03,  3.59463E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.01803E-02,  1.57429E-02,  1.29695E-02,  1.11070E-02,  9.75142E-03,  8.69085E-03,NA,NA,
