NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.95029E-02,  2.01274E-02,  2.07513E-02,  2.13707E-02,  2.19813E-02,  2.25783E-02,  2.31567E-02,  2.37112E-02,  2.42363E-02,  2.47266E-02,  2.51767E-02,  2.55813E-02,  2.59357E-02,  2.62355E-02,  2.64773E-02,  2.66581E-02,  2.67759E-02,  2.68298E-02,  2.68197E-02,  2.67466E-02,  2.66121E-02,  2.64191E-02,  2.61709E-02,  2.58715E-02,  2.55254E-02,  2.51372E-02,  2.47121E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.86685E-02,  1.93242E-02,  1.99881E-02,  2.06569E-02,  2.13269E-02,  2.19938E-02,  2.26530E-02,  2.32990E-02,  2.39265E-02,  2.45293E-02,  2.51014E-02,  2.56364E-02,  2.61282E-02,  2.65708E-02,  2.69587E-02,  2.72870E-02,  2.75513E-02,  2.77485E-02,  2.78763E-02,  2.79334E-02,  2.79199E-02,  2.78369E-02,  2.76865E-02,  2.74719E-02,  2.71971E-02,  2.68666E-02,  2.64857E-02,  2.60599E-02,  2.55949E-02,  2.50962E-02,  2.45696E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.77111E-02,  1.83793E-02,  1.90634E-02,  1.97611E-02,  2.04694E-02,  2.11852E-02,  2.19043E-02,  2.26221E-02,  2.33335E-02,  2.40326E-02,  2.47133E-02,  2.53688E-02,  2.59922E-02,  2.65763E-02,  2.71141E-02,  2.75987E-02,  2.80236E-02,  2.83832E-02,  2.86726E-02,  2.88879E-02,  2.90265E-02,  2.90871E-02,  2.90696E-02,  2.89755E-02,  2.88072E-02,  2.85684E-02,  2.82639E-02,  2.78991E-02,  2.74799E-02,  2.70127E-02,  2.65040E-02,  2.59603E-02,  2.53877E-02,  2.47924E-02,  2.41798E-02,  2.35550E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.66672E-02,  1.73305E-02,  1.80157E-02,  1.87216E-02,  1.94464E-02,  2.01878E-02,  2.09429E-02,  2.17081E-02,  2.24793E-02,  2.32514E-02,  2.40188E-02,  2.47751E-02,  2.55134E-02,  2.62261E-02,  2.69055E-02,  2.75434E-02,  2.81317E-02,  2.86625E-02,  2.91283E-02,  2.95226E-02,  2.98396E-02,  3.00749E-02,  3.02255E-02,  3.02897E-02,  3.02676E-02,  3.01608E-02,  2.99725E-02,  2.97068E-02,  2.93694E-02,  2.89666E-02,  2.85053E-02,  2.79928E-02,  2.74366E-02,  2.68439E-02,  2.62219E-02,  2.55771E-02,  2.49158E-02,  2.42434E-02,  2.35650E-02,  2.28849E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.55734E-02,  1.62168E-02,  1.68863E-02,  1.75816E-02,  1.83020E-02,  1.90464E-02,  1.98131E-02,  2.05998E-02,  2.14036E-02,  2.22208E-02,  2.30469E-02,  2.38766E-02,  2.47037E-02,  2.55213E-02,  2.63217E-02,  2.70965E-02,  2.78368E-02,  2.85334E-02,  2.91770E-02,  2.97586E-02,  3.02695E-02,  3.07020E-02,  3.10495E-02,  3.13068E-02,  3.14704E-02,  3.15385E-02,  3.15111E-02,  3.13902E-02,  3.11794E-02,  3.08840E-02,  3.05102E-02,  3.00656E-02,  2.95582E-02,  2.89963E-02,  2.83885E-02,  2.77430E-02,  2.70678E-02,  2.63703E-02,  2.56572E-02,  2.49346E-02,  2.42077E-02,  2.34813E-02,  2.27592E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.44626E-02,  1.50747E-02,  1.57151E-02,  1.63843E-02,  1.70826E-02,  1.78099E-02,  1.85658E-02,  1.93492E-02,  2.01587E-02,  2.09920E-02,  2.18461E-02,  2.27174E-02,  2.36011E-02,  2.44915E-02,  2.53820E-02,  2.62651E-02,  2.71321E-02,  2.79737E-02,  2.87799E-02,  2.95404E-02,  3.02444E-02,  3.08815E-02,  3.14418E-02,  3.19164E-02,  3.22975E-02,  3.25790E-02,  3.27569E-02,  3.28291E-02,  3.27956E-02,  3.26590E-02,  3.24234E-02,  3.20949E-02,  3.16812E-02,  3.11908E-02,  3.06331E-02,  3.00177E-02,  2.93542E-02,  2.86522E-02,  2.79203E-02,  2.71668E-02,  2.63991E-02,  2.56238E-02,  2.48464E-02,  2.40719E-02,  2.33044E-02,  2.25471E-02,  2.18029E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.39356E-02,  1.45374E-02,  1.51690E-02,  1.58315E-02,  1.65257E-02,  1.72522E-02,  1.80111E-02,  1.88022E-02,  1.96247E-02,  2.04774E-02,  2.13581E-02,  2.22640E-02,  2.31911E-02,  2.41347E-02,  2.50887E-02,  2.60460E-02,  2.69983E-02,  2.79363E-02,  2.88495E-02,  2.97268E-02,  3.05563E-02,  3.13259E-02,  3.20236E-02,  3.26380E-02,  3.31586E-02,  3.35765E-02,  3.38846E-02,  3.40781E-02,  3.41546E-02,  3.41144E-02,  3.39603E-02,  3.36973E-02,  3.33327E-02,  3.28752E-02,  3.23350E-02,  3.17229E-02,  3.10498E-02,  3.03269E-02,  2.95645E-02,  2.87727E-02,  2.79604E-02,  2.71356E-02,  2.63054E-02,  2.54758E-02,  2.46519E-02,  2.38379E-02,  2.30371E-02,  2.22522E-02,  2.14853E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.33818E-02,  1.39685E-02,  1.45861E-02,  1.52360E-02,  1.59194E-02,  1.66374E-02,  1.73909E-02,  1.81805E-02,  1.90061E-02,  1.98673E-02,  2.07631E-02,  2.16915E-02,  2.26498E-02,  2.36340E-02,  2.46392E-02,  2.56592E-02,  2.66862E-02,  2.77114E-02,  2.87244E-02,  2.97138E-02,  3.06670E-02,  3.15707E-02,  3.24111E-02,  3.31744E-02,  3.38476E-02,  3.44184E-02,  3.48765E-02,  3.52136E-02,  3.54241E-02,  3.55054E-02,  3.54577E-02,  3.52843E-02,  3.49914E-02,  3.45874E-02,  3.40826E-02,  3.34887E-02,  3.28182E-02,  3.20836E-02,  3.12975E-02,  3.04716E-02,  2.96170E-02,  2.87434E-02,  2.78595E-02,  2.69730E-02,  2.60900E-02,  2.52158E-02,  2.43547E-02,  2.35101E-02,  2.26844E-02,  2.18797E-02,  2.10974E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.22695E-02,  1.28078E-02,  1.33755E-02,  1.39744E-02,  1.46062E-02,  1.52726E-02,  1.59751E-02,  1.67153E-02,  1.74943E-02,  1.83130E-02,  1.91719E-02,  2.00708E-02,  2.10089E-02,  2.19846E-02,  2.29953E-02,  2.40371E-02,  2.51051E-02,  2.61926E-02,  2.72916E-02,  2.83926E-02,  2.94842E-02,  3.05539E-02,  3.15876E-02,  3.25703E-02,  3.34865E-02,  3.43204E-02,  3.50569E-02,  3.56820E-02,  3.61837E-02,  3.65523E-02,  3.67814E-02,  3.68678E-02,  3.68120E-02,  3.66178E-02,  3.62926E-02,  3.58462E-02,  3.52907E-02,  3.46395E-02,  3.39070E-02,  3.31076E-02,  3.22553E-02,  3.13632E-02,  3.04436E-02,  2.95070E-02,  2.85628E-02,  2.76189E-02,  2.66821E-02,  2.57575E-02,  2.48494E-02,  2.39612E-02,  2.30952E-02,  2.22533E-02,  2.14366E-02,  2.06458E-02,  1.98814E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.17037E-02,  1.22201E-02,  1.27655E-02,  1.33418E-02,  1.39509E-02,  1.45949E-02,  1.52757E-02,  1.59953E-02,  1.67555E-02,  1.75578E-02,  1.84036E-02,  1.92936E-02,  2.02283E-02,  2.12072E-02,  2.22289E-02,  2.32912E-02,  2.43902E-02,  2.55210E-02,  2.66768E-02,  2.78493E-02,  2.90280E-02,  3.02010E-02,  3.13542E-02,  3.24722E-02,  3.35383E-02,  3.45347E-02,  3.54438E-02,  3.62481E-02,  3.69315E-02,  3.74801E-02,  3.78828E-02,  3.81319E-02,  3.82240E-02,  3.81596E-02,  3.79433E-02,  3.75837E-02,  3.70923E-02,  3.64832E-02,  3.57718E-02,  3.49745E-02,  3.41077E-02,  3.31870E-02,  3.22271E-02,  3.12411E-02,  3.02408E-02,  2.92360E-02,  2.82350E-02,  2.72446E-02,  2.62702E-02,  2.53160E-02,  2.43852E-02,  2.34800E-02,  2.26019E-02,  2.17520E-02,  2.09306E-02,  2.01380E-02,  1.93740E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
