NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.24520E-03,  5.96267E-03,  6.61089E-03,  7.13549E-03,  7.48509E-03,  7.62164E-03,  7.52943E-03,  7.21913E-03,  6.72501E-03,  6.09666E-03,  5.38863E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.07975E-03,  4.97515E-03,  5.91888E-03,  6.86128E-03,  7.73380E-03,  8.45483E-03,  8.94286E-03,  9.13515E-03,  9.00521E-03,  8.57104E-03,  7.88950E-03,  7.03998E-03,  6.10533E-03,  5.15733E-03,  4.24948E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  2.51242E-03,  3.35749E-03,  4.34294E-03,  5.45912E-03,  6.67500E-03,  7.92992E-03,  9.12895E-03,  1.01476E-02,  1.08517E-02,  1.11325E-02,  1.09425E-02,  1.03141E-02,  9.34677E-03,  8.17255E-03,  6.92002E-03,  5.69068E-03,  4.55172E-03,  3.53938E-03,  2.66682E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  1.59121E-03,  2.38371E-03,  3.36073E-03,  4.54105E-03,  5.92950E-03,  7.50387E-03,  9.19785E-03,  1.08843E-02,  1.23717E-02,  1.34306E-02,  1.38600E-02,  1.35690E-02,  1.26199E-02,  1.11981E-02,  9.53366E-03,  7.82904E-03,  6.22433E-03,  4.79663E-03,  3.57532E-03,  2.55970E-03,  1.73292E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  5.85642E-04,  1.25128E-03,  2.11630E-03,  3.22384E-03,  4.61733E-03,  6.33094E-03,  8.37094E-03,  1.06842E-02,  1.31159E-02,  1.53748E-02,  1.70530E-02,  1.77512E-02,  1.72770E-02,  1.57627E-02,  1.35832E-02,  1.11579E-02,  8.80532E-03,  6.70510E-03,  4.92677E-03,  3.47277E-03,  2.31258E-03,  1.40358E-03,  7.02136E-04,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  7.84663E-05,  7.51389E-04,  1.66330E-03,  2.88215E-03,  4.48821E-03,  6.56740E-03,  9.19094E-03,  1.23681E-02,  1.59574E-02,NA,NA,NA,NA,NA,  1.66786E-02,  1.30465E-02,  9.77079E-03,  7.03644E-03,  4.85527E-03,  3.16331E-03,  1.87532E-03,  9.09112E-04,  1.94135E-04, -3.27005E-04,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -1.02259E-03, -5.81756E-04,  5.98184E-05,  9.74027E-04,  2.25763E-03,  4.03918E-03,  6.48353E-03,  9.78389E-03,  1.41150E-02,NA,NA,NA,NA,NA,NA,NA,NA,  1.05464E-02,  7.05584E-03,  4.45963E-03,  2.56247E-03,  1.19263E-03,  2.14645E-04, -4.73945E-04, -9.49366E-04,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -1.96914E-03, -1.76063E-03, -1.40714E-03, -8.48250E-04,  2.10185E-06,  1.26793E-03,  3.13000E-03,  5.85277E-03,  9.81615E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.07786E-02,  6.51663E-03,  3.58506E-03,  1.57853E-03,  2.12420E-04, -7.08020E-04, -1.31620E-03, -1.70446E-03, -1.93751E-03,NA,NA,NA,NA,
NA,NA,NA,NA, -2.71190E-03, -2.62011E-03, -2.39785E-03, -1.98258E-03, -1.28154E-03, -1.53934E-04,  1.62037E-03,  4.39703E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.10276E-03,  2.07052E-03,  1.33653E-04, -1.09995E-03, -1.87146E-03, -2.33417E-03, -2.58851E-03, -2.70195E-03,NA,NA,NA,NA,
NA,NA,NA,NA, -3.52958E-03, -3.58499E-03, -3.53750E-03, -3.32931E-03, -2.87248E-03, -2.02943E-03, -5.75931E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.91084E-04, -1.80217E-03, -2.74337E-03, -3.26293E-03, -3.51165E-03, -3.58528E-03, -3.54648E-03, -3.43703E-03,NA,NA,NA,
