NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.82760E-03,  9.15182E-03,  9.35015E-03,  9.40894E-03,  9.33781E-03,  9.16888E-03,  8.94772E-03,  8.71980E-03,  8.51812E-03,  8.35545E-03,  8.22155E-03,  8.08463E-03,  7.89735E-03,  7.60804E-03,  7.17522E-03,  6.58044E-03,  5.83370E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.05535E-03,  9.72504E-03,  1.03289E-02,  1.08042E-02,  1.10933E-02,  1.11654E-02,  1.10328E-02,  1.07525E-02,  1.04080E-02,  1.00826E-02,  9.83547E-03,  9.69000E-03,  9.62993E-03,  9.60108E-03,  9.51951E-03,  9.29073E-03,  8.83797E-03,  8.12812E-03,  7.18145E-03,  6.06101E-03,  4.85028E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  9.47381E-03,  1.04103E-02,  1.13695E-02,  1.22709E-02,  1.30046E-02,  1.34560E-02,  1.35509E-02,  1.32991E-02,  1.28039E-02,  1.22247E-02,  1.17175E-02,  1.13895E-02,  1.12824E-02,  1.13709E-02,  1.15632E-02,  1.17082E-02,  1.16278E-02,  1.11761E-02,  1.02956E-02,  9.03482E-03,  7.51731E-03,  5.89058E-03,  4.28476E-03,  2.79372E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  9.59377E-03,  1.07394E-02,  1.20414E-02,  1.34527E-02,  1.48592E-02,  1.60694E-02,  1.68467E-02,  1.70048E-02,  1.65261E-02,  1.56059E-02,  1.45666E-02,  1.37114E-02,  1.32326E-02,  1.32004E-02,  1.35772E-02,  1.42113E-02,  1.48263E-02,  1.50710E-02,  1.46530E-02,  1.34769E-02,  1.16724E-02,  9.49983E-03,  7.22778E-03,  5.05922E-03,  3.11653E-03,  1.45707E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  9.42777E-03,  1.06589E-02,  1.21677E-02,  1.39933E-02,  1.61222E-02,  1.84238E-02,  2.05806E-02,  2.20920E-02,  2.24624E-02,  2.15463E-02,  1.97402E-02,  1.77578E-02,  1.62186E-02,  1.54525E-02,  1.55572E-02,  1.64849E-02,  1.80079E-02,  1.96163E-02,  2.05651E-02,  2.02154E-02,  1.84239E-02,  1.55712E-02,  1.22453E-02,  8.93818E-03,  5.94267E-03,  3.38658E-03,  1.29812E-03, -3.45042E-04, -1.58870E-03, -2.48892E-03, -3.10508E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,  9.06834E-03,  1.02521E-02,  1.17630E-02,  1.37246E-02,  1.62814E-02,  1.95504E-02,  2.34925E-02,NA,NA,NA,NA,NA,  2.24670E-02,  1.95398E-02,  1.82253E-02,  1.85700E-02,  2.05456E-02,NA,NA,NA,NA,NA,  2.15717E-02,  1.60830E-02,  1.10782E-02,  6.87503E-03,  3.50570E-03,  8.94804E-04, -1.06073E-03, -2.46550E-03, -3.41981E-03, -4.01799E-03, -4.34598E-03, -4.47836E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  8.63717E-03,  9.69124E-03,  1.10416E-02,  1.28393E-02,  1.53211E-02,  1.88407E-02,  2.38712E-02,NA,NA,NA,NA,NA,NA,NA,NA,  2.19600E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.36141E-02,  7.70487E-03,  3.30999E-03,  9.98881E-05, -2.17547E-03, -3.70996E-03, -4.66565E-03, -5.18443E-03, -5.38958E-03, -5.38333E-03, -5.24518E-03, -5.03280E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  9.13841E-03,  1.02722E-02,  1.17525E-02,  1.37971E-02,  1.67945E-02,  2.14414E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.62793E-02,  8.14281E-03,  2.56312E-03, -1.27508E-03, -3.83842E-03, -5.43456E-03, -6.30339E-03, -6.64930E-03, -6.64521E-03, -6.42857E-03, -6.09979E-03, -5.72585E-03, -5.34720E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,  8.68037E-03,  9.63174E-03,  1.08100E-02,  1.23571E-02,  1.45474E-02,  1.79240E-02,  2.36149E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.76959E-03,  9.99455E-04, -3.42210E-03, -6.19628E-03, -7.74455E-03, -8.39650E-03, -8.43835E-03, -8.10992E-03, -7.59335E-03, -7.01143E-03, -6.43651E-03, -5.90451E-03, -5.42848E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,  9.16626E-03,  1.01466E-02,  1.13350E-02,  1.28733E-02,  1.50581E-02,  1.85272E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.23077E-03, -1.51806E-03, -6.41934E-03, -9.30346E-03, -1.06674E-02, -1.09396E-02, -1.05161E-02, -9.72833E-03, -8.81484E-03, -7.91977E-03, -7.11283E-03, -6.41566E-03, -5.82438E-03, -5.32466E-03,NA,NA,NA,NA,NA,
