NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.95700E-03,  8.85322E-03,  9.69073E-03,  1.03896E-02,  1.08664E-02,  1.10551E-02,  1.09275E-02,  1.05028E-02,  9.84108E-03,  9.02407E-03,  8.13371E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.59427E-03,  7.65645E-03,  8.82332E-03,  1.00449E-02,  1.12320E-02,  1.22576E-02,  1.29760E-02,  1.32646E-02,  1.30692E-02,  1.24268E-02,  1.14500E-02,  1.02834E-02,  9.06027E-03,  7.87764E-03,  6.79260E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  4.84266E-03,  5.78213E-03,  6.91191E-03,  8.25048E-03,  9.79505E-03,  1.14987E-02,  1.32430E-02,  1.48225E-02,  1.59704E-02,  1.64415E-02,  1.61220E-02,  1.50898E-02,  1.35729E-02,  1.18421E-02,  1.01185E-02,  8.53721E-03,  7.15711E-03,  5.98751E-03,  5.01273E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  3.85513E-03,  4.70276E-03,  5.77117E-03,  7.11621E-03,  8.79770E-03,  1.08609E-02,  1.32954E-02,  1.59678E-02,  1.85519E-02,  2.05321E-02,  2.13702E-02,  2.08000E-02,  1.90052E-02,  1.64944E-02,  1.38069E-02,  1.13101E-02,  9.17061E-03,  7.41700E-03,  6.01073E-03,  4.89284E-03,  4.00598E-03,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  2.79542E-03,  3.47956E-03,  4.37438E-03,  5.55424E-03,  7.12197E-03,  9.21262E-03,  1.19802E-02,  1.55411E-02,  1.98364E-02,  2.44004E-02,NA,NA,NA,NA,  2.07328E-02,  1.63311E-02,  1.26128E-02,  9.69621E-03,  7.48521E-03,  5.82673E-03,  4.58007E-03,  3.63611E-03,  2.91550E-03,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  2.24530E-03,  2.90077E-03,  3.79822E-03,  5.04657E-03,  6.81488E-03,  9.36073E-03,  1.30539E-02,  1.83559E-02,NA,NA,NA,NA,NA,NA,NA,  1.96192E-02,  1.39499E-02,  9.97957E-03,  7.24198E-03,  5.34507E-03,  4.01062E-03,  3.05459E-03,  2.35830E-03,  1.84453E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,  1.10823E-03,  1.50902E-03,  2.08242E-03,  2.91668E-03,  4.15907E-03,  6.06128E-03,  9.05503E-03,  1.38815E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.51366E-02,  9.82471E-03,  6.54343E-03,  4.46901E-03,  3.12164E-03,  2.22159E-03,  1.60546E-03,  1.17603E-03,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  1.36918E-04,  3.05483E-04,  5.73577E-04,  9.99903E-04,  1.68666E-03,  2.81950E-03,  4.74110E-03,  8.09207E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.00605E-03,  5.25665E-03,  3.11882E-03,  1.86533E-03,  1.10950E-03,  6.42142E-04,  3.48688E-04,  1.63987E-04,NA,NA,NA,NA,
NA,NA,NA,NA, -6.59381E-04, -6.43058E-04, -5.59541E-04, -3.51162E-04,  9.46455E-05,  1.00185E-03,  2.80913E-03,  6.37100E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.39963E-03,  3.33036E-03,  1.26557E-03,  2.25998E-04, -2.87578E-04, -5.31093E-04, -6.33318E-04, -6.59759E-04,NA,NA,NA,NA,
NA,NA,NA,NA, -1.54910E-03, -1.71977E-03, -1.87018E-03, -1.94799E-03, -1.83160E-03, -1.25000E-03,  3.58027E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.73184E-04, -1.04085E-03, -1.76677E-03, -1.94621E-03, -1.89360E-03, -1.75186E-03, -1.58279E-03, -1.41278E-03,NA,NA,NA,
